# (t) 	 (c tau) 	 (p0) 	 (pzD) 	 (p0FF)
3.6e-07 	 -0.746 	 0 	 0 	 0
3.66667e-07 	 -0.745 	 0 	 0 	 0
3.73333e-07 	 -0.744 	 0 	 0 	 0
3.8e-07 	 -0.743 	 0 	 0 	 0
3.86667e-07 	 -0.742 	 0 	 0 	 0
3.93333e-07 	 -0.741 	 0 	 0 	 0
4e-07 	 -0.74 	 0 	 0 	 0
4.06667e-07 	 -0.739 	 0 	 0 	 0
4.13333e-07 	 -0.738 	 0 	 0 	 0
4.2e-07 	 -0.737 	 0 	 0 	 0
4.26667e-07 	 -0.736 	 0 	 0 	 0
4.33333e-07 	 -0.735 	 0 	 0 	 0
4.4e-07 	 -0.734 	 0 	 0 	 0
4.46667e-07 	 -0.733 	 0 	 0 	 0
4.53333e-07 	 -0.732 	 0 	 0 	 0
4.6e-07 	 -0.731 	 0 	 0 	 0
4.66667e-07 	 -0.73 	 0 	 0 	 0
4.73333e-07 	 -0.729 	 0 	 0 	 0
4.8e-07 	 -0.728 	 0 	 0 	 0
4.86667e-07 	 -0.727 	 0 	 0 	 0
4.93333e-07 	 -0.726 	 0 	 0 	 0
5e-07 	 -0.725 	 0 	 0 	 0
5.06667e-07 	 -0.724 	 0 	 0 	 0
5.13333e-07 	 -0.723 	 0 	 0 	 0
5.2e-07 	 -0.722 	 0 	 0 	 0
5.26667e-07 	 -0.721 	 0 	 0 	 0
5.33333e-07 	 -0.72 	 0 	 0 	 0
5.4e-07 	 -0.719 	 0 	 0 	 0
5.46667e-07 	 -0.718 	 0 	 0 	 0
5.53333e-07 	 -0.717 	 0 	 0 	 0
5.6e-07 	 -0.716 	 0 	 0 	 0
5.66667e-07 	 -0.715 	 0 	 0 	 0
5.73333e-07 	 -0.714 	 0 	 0 	 0
5.8e-07 	 -0.713 	 0 	 0 	 0
5.86667e-07 	 -0.712 	 0 	 0 	 0
5.93333e-07 	 -0.711 	 0 	 0 	 0
6e-07 	 -0.71 	 0 	 0 	 0
6.06667e-07 	 -0.709 	 0 	 0 	 0
6.13333e-07 	 -0.708 	 0 	 0 	 0
6.2e-07 	 -0.707 	 0 	 0 	 0
6.26667e-07 	 -0.706 	 0 	 0 	 0
6.33333e-07 	 -0.705 	 0 	 0 	 0
6.4e-07 	 -0.704 	 0 	 0 	 0
6.46667e-07 	 -0.703 	 0 	 0 	 0
6.53333e-07 	 -0.702 	 0 	 0 	 0
6.6e-07 	 -0.701 	 0 	 0 	 0
6.66667e-07 	 -0.7 	 0 	 0 	 0
6.73333e-07 	 -0.699 	 0 	 0 	 0
6.8e-07 	 -0.698 	 0 	 0 	 0
6.86667e-07 	 -0.697 	 0 	 0 	 0
6.93333e-07 	 -0.696 	 0 	 0 	 0
7e-07 	 -0.695 	 0 	 0 	 0
7.06667e-07 	 -0.694 	 0 	 0 	 0
7.13333e-07 	 -0.693 	 0 	 0 	 0
7.2e-07 	 -0.692 	 0 	 0 	 0
7.26667e-07 	 -0.691 	 0 	 0 	 0
7.33333e-07 	 -0.69 	 0 	 0 	 0
7.4e-07 	 -0.689 	 0 	 0 	 0
7.46667e-07 	 -0.688 	 0 	 0 	 0
7.53333e-07 	 -0.687 	 0 	 0 	 0
7.6e-07 	 -0.686 	 0 	 0 	 0
7.66667e-07 	 -0.685 	 0 	 0 	 0
7.73333e-07 	 -0.684 	 0 	 0 	 0
7.8e-07 	 -0.683 	 0 	 0 	 0
7.86667e-07 	 -0.682 	 0 	 0 	 0
7.93333e-07 	 -0.681 	 0 	 0 	 0
8e-07 	 -0.68 	 0 	 0 	 0
8.06667e-07 	 -0.679 	 0 	 0 	 0
8.13333e-07 	 -0.678 	 0 	 0 	 0
8.2e-07 	 -0.677 	 0 	 0 	 0
8.26667e-07 	 -0.676 	 0 	 0 	 0
8.33333e-07 	 -0.675 	 0 	 0 	 0
8.4e-07 	 -0.674 	 0 	 0 	 0
8.46667e-07 	 -0.673 	 0 	 0 	 0
8.53333e-07 	 -0.672 	 0 	 0 	 0
8.6e-07 	 -0.671 	 0 	 0 	 0
8.66667e-07 	 -0.67 	 0 	 0 	 0
8.73333e-07 	 -0.669 	 0 	 0 	 0
8.8e-07 	 -0.668 	 0 	 0 	 0
8.86667e-07 	 -0.667 	 0 	 0 	 0
8.93333e-07 	 -0.666 	 0 	 0 	 0
9e-07 	 -0.665 	 0 	 0 	 0
9.06667e-07 	 -0.664 	 0 	 0 	 0
9.13333e-07 	 -0.663 	 0 	 0 	 0
9.2e-07 	 -0.662 	 0 	 0 	 0
9.26667e-07 	 -0.661 	 0 	 0 	 0
9.33333e-07 	 -0.66 	 0 	 0 	 0
9.4e-07 	 -0.659 	 0 	 0 	 0
9.46667e-07 	 -0.658 	 0 	 0 	 0
9.53333e-07 	 -0.657 	 0 	 0 	 0
9.6e-07 	 -0.656 	 0 	 0 	 0
9.66667e-07 	 -0.655 	 0 	 0 	 0
9.73333e-07 	 -0.654 	 0 	 0 	 0
9.8e-07 	 -0.653 	 0 	 0 	 0
9.86667e-07 	 -0.652 	 0 	 0 	 0
9.93333e-07 	 -0.651 	 0 	 0 	 0
1e-06 	 -0.65 	 0 	 0 	 0
1.00667e-06 	 -0.649 	 0 	 0 	 0
1.01333e-06 	 -0.648 	 0 	 0 	 0
1.02e-06 	 -0.647 	 0 	 0 	 0
1.02667e-06 	 -0.646 	 0 	 0 	 0
1.03333e-06 	 -0.645 	 0 	 0 	 0
1.04e-06 	 -0.644 	 0 	 0 	 0
1.04667e-06 	 -0.643 	 0 	 0 	 0
1.05333e-06 	 -0.642 	 0 	 0 	 0
1.06e-06 	 -0.641 	 0 	 0 	 0
1.06667e-06 	 -0.64 	 0 	 0 	 0
1.07333e-06 	 -0.639 	 0 	 0 	 0
1.08e-06 	 -0.638 	 0 	 0 	 0
1.08667e-06 	 -0.637 	 0 	 0 	 0
1.09333e-06 	 -0.636 	 0 	 0 	 0
1.1e-06 	 -0.635 	 0 	 0 	 0
1.10667e-06 	 -0.634 	 0 	 0 	 0
1.11333e-06 	 -0.633 	 0 	 0 	 0
1.12e-06 	 -0.632 	 0 	 0 	 0
1.12667e-06 	 -0.631 	 0 	 0 	 0
1.13333e-06 	 -0.63 	 0 	 0 	 0
1.14e-06 	 -0.629 	 0 	 0 	 0
1.14667e-06 	 -0.628 	 0 	 0 	 0
1.15333e-06 	 -0.627 	 0 	 0 	 0
1.16e-06 	 -0.626 	 0 	 0 	 0
1.16667e-06 	 -0.625 	 0 	 0 	 0
1.17333e-06 	 -0.624 	 0 	 0 	 0
1.18e-06 	 -0.623 	 0 	 0 	 0
1.18667e-06 	 -0.622 	 0 	 0 	 0
1.19333e-06 	 -0.621 	 0 	 0 	 0
1.2e-06 	 -0.62 	 0 	 0 	 0
1.20667e-06 	 -0.619 	 0 	 0 	 0
1.21333e-06 	 -0.618 	 0 	 0 	 0
1.22e-06 	 -0.617 	 0 	 0 	 0
1.22667e-06 	 -0.616 	 0 	 0 	 0
1.23333e-06 	 -0.615 	 0 	 0 	 0
1.24e-06 	 -0.614 	 0 	 0 	 0
1.24667e-06 	 -0.613 	 0 	 0 	 0
1.25333e-06 	 -0.612 	 0 	 0 	 0
1.26e-06 	 -0.611 	 0 	 0 	 0
1.26667e-06 	 -0.61 	 0 	 0 	 0
1.27333e-06 	 -0.609 	 0 	 0 	 0
1.28e-06 	 -0.608 	 0 	 0 	 0
1.28667e-06 	 -0.607 	 0 	 0 	 0
1.29333e-06 	 -0.606 	 0 	 0 	 0
1.3e-06 	 -0.605 	 0 	 0 	 0
1.30667e-06 	 -0.604 	 0 	 0 	 0
1.31333e-06 	 -0.603 	 0 	 0 	 0
1.32e-06 	 -0.602 	 0 	 0 	 0
1.32667e-06 	 -0.601 	 0 	 0 	 0
1.33333e-06 	 -0.6 	 0 	 0 	 0
1.34e-06 	 -0.599 	 0 	 0 	 0
1.34667e-06 	 -0.598 	 0 	 0 	 0
1.35333e-06 	 -0.597 	 0 	 0 	 0
1.36e-06 	 -0.596 	 0 	 0 	 0
1.36667e-06 	 -0.595 	 0 	 0 	 0
1.37333e-06 	 -0.594 	 0 	 0 	 0
1.38e-06 	 -0.593 	 0 	 0 	 0
1.38667e-06 	 -0.592 	 0 	 0 	 0
1.39333e-06 	 -0.591 	 0 	 0 	 0
1.4e-06 	 -0.59 	 0 	 0 	 0
1.40667e-06 	 -0.589 	 0 	 0 	 0
1.41333e-06 	 -0.588 	 0 	 0 	 0
1.42e-06 	 -0.587 	 0 	 0 	 0
1.42667e-06 	 -0.586 	 0 	 0 	 0
1.43333e-06 	 -0.585 	 0 	 0 	 0
1.44e-06 	 -0.584 	 0 	 0 	 0
1.44667e-06 	 -0.583 	 0 	 0 	 0
1.45333e-06 	 -0.582 	 0 	 0 	 0
1.46e-06 	 -0.581 	 0 	 0 	 0
1.46667e-06 	 -0.58 	 0 	 0 	 0
1.47333e-06 	 -0.579 	 0 	 0 	 0
1.48e-06 	 -0.578 	 0 	 0 	 0
1.48667e-06 	 -0.577 	 0 	 0 	 0
1.49333e-06 	 -0.576 	 0 	 0 	 0
1.5e-06 	 -0.575 	 0 	 0 	 0
1.50667e-06 	 -0.574 	 0 	 0 	 0
1.51333e-06 	 -0.573 	 0 	 0 	 0
1.52e-06 	 -0.572 	 0 	 0 	 0
1.52667e-06 	 -0.571 	 0 	 0 	 0
1.53333e-06 	 -0.57 	 0 	 0 	 0
1.54e-06 	 -0.569 	 0 	 0 	 0
1.54667e-06 	 -0.568 	 0 	 0 	 0
1.55333e-06 	 -0.567 	 0 	 0 	 0
1.56e-06 	 -0.566 	 0 	 0 	 0
1.56667e-06 	 -0.565 	 0 	 0 	 0
1.57333e-06 	 -0.564 	 0 	 0 	 0
1.58e-06 	 -0.563 	 0 	 0 	 0
1.58667e-06 	 -0.562 	 0 	 0 	 0
1.59333e-06 	 -0.561 	 0 	 0 	 0
1.6e-06 	 -0.56 	 0 	 0 	 0
1.60667e-06 	 -0.559 	 0 	 0 	 0
1.61333e-06 	 -0.558 	 0 	 0 	 0
1.62e-06 	 -0.557 	 0 	 0 	 0
1.62667e-06 	 -0.556 	 0 	 0 	 0
1.63333e-06 	 -0.555 	 0 	 0 	 0
1.64e-06 	 -0.554 	 0 	 0 	 0
1.64667e-06 	 -0.553 	 0 	 0 	 0
1.65333e-06 	 -0.552 	 0 	 0 	 0
1.66e-06 	 -0.551 	 0 	 0 	 0
1.66667e-06 	 -0.55 	 0 	 0 	 0
1.67333e-06 	 -0.549 	 0 	 0 	 0
1.68e-06 	 -0.548 	 0 	 0 	 0
1.68667e-06 	 -0.547 	 0 	 0 	 0
1.69333e-06 	 -0.546 	 0 	 0 	 0
1.7e-06 	 -0.545 	 0 	 0 	 0
1.70667e-06 	 -0.544 	 0 	 0 	 0
1.71333e-06 	 -0.543 	 0 	 0 	 0
1.72e-06 	 -0.542 	 0 	 0 	 0
1.72667e-06 	 -0.541 	 0 	 0 	 0
1.73333e-06 	 -0.54 	 0 	 0 	 0
1.74e-06 	 -0.539 	 0 	 0 	 0
1.74667e-06 	 -0.538 	 0 	 0 	 0
1.75333e-06 	 -0.537 	 0 	 0 	 0
1.76e-06 	 -0.536 	 0 	 0 	 0
1.76667e-06 	 -0.535 	 0 	 0 	 0
1.77333e-06 	 -0.534 	 0 	 0 	 0
1.78e-06 	 -0.533 	 0 	 0 	 0
1.78667e-06 	 -0.532 	 0 	 0 	 0
1.79333e-06 	 -0.531 	 0 	 0 	 0
1.8e-06 	 -0.53 	 0 	 0 	 0
1.80667e-06 	 -0.529 	 0 	 0 	 0
1.81333e-06 	 -0.528 	 0 	 0 	 0
1.82e-06 	 -0.527 	 0 	 0 	 0
1.82667e-06 	 -0.526 	 0 	 0 	 0
1.83333e-06 	 -0.525 	 0 	 0 	 0
1.84e-06 	 -0.524 	 0 	 0 	 0
1.84667e-06 	 -0.523 	 0 	 0 	 0
1.85333e-06 	 -0.522 	 0 	 0 	 0
1.86e-06 	 -0.521 	 0 	 0 	 0
1.86667e-06 	 -0.52 	 0 	 0 	 0
1.87333e-06 	 -0.519 	 0 	 0 	 0
1.88e-06 	 -0.518 	 0 	 0 	 0
1.88667e-06 	 -0.517 	 0 	 0 	 0
1.89333e-06 	 -0.516 	 0 	 0 	 0
1.9e-06 	 -0.515 	 0 	 0 	 0
1.90667e-06 	 -0.514 	 0 	 0 	 0
1.91333e-06 	 -0.513 	 0 	 0 	 0
1.92e-06 	 -0.512 	 0 	 0 	 0
1.92667e-06 	 -0.511 	 0 	 0 	 0
1.93333e-06 	 -0.51 	 0 	 0 	 0
1.94e-06 	 -0.509 	 0 	 0 	 0
1.94667e-06 	 -0.508 	 0 	 0 	 0
1.95333e-06 	 -0.507 	 0 	 0 	 0
1.96e-06 	 -0.506 	 0 	 0 	 0
1.96667e-06 	 -0.505 	 0 	 0 	 0
1.97333e-06 	 -0.504 	 0 	 0 	 0
1.98e-06 	 -0.503 	 0 	 0 	 0
1.98667e-06 	 -0.502 	 0 	 0 	 0
1.99333e-06 	 -0.501 	 0 	 0 	 0
2e-06 	 -0.5 	 0 	 0 	 0
2.00667e-06 	 -0.499 	 0 	 0 	 0
2.01333e-06 	 -0.498 	 0 	 0 	 0
2.02e-06 	 -0.497 	 0 	 0 	 0
2.02667e-06 	 -0.496 	 0 	 0 	 0
2.03333e-06 	 -0.495 	 0 	 0 	 0
2.04e-06 	 -0.494 	 0 	 0 	 0
2.04667e-06 	 -0.493 	 0 	 0 	 0
2.05333e-06 	 -0.492 	 0 	 0 	 0
2.06e-06 	 -0.491 	 0 	 0 	 0
2.06667e-06 	 -0.49 	 0 	 0 	 0
2.07333e-06 	 -0.489 	 0 	 0 	 0
2.08e-06 	 -0.488 	 0 	 0 	 0
2.08667e-06 	 -0.487 	 0 	 0 	 0
2.09333e-06 	 -0.486 	 0 	 0 	 0
2.1e-06 	 -0.485 	 0 	 0 	 0
2.10667e-06 	 -0.484 	 0 	 0 	 0
2.11333e-06 	 -0.483 	 0 	 0 	 0
2.12e-06 	 -0.482 	 0 	 0 	 0
2.12667e-06 	 -0.481 	 0 	 0 	 0
2.13333e-06 	 -0.48 	 0 	 0 	 0
2.14e-06 	 -0.479 	 0 	 0 	 0
2.14667e-06 	 -0.478 	 0 	 0 	 0
2.15333e-06 	 -0.477 	 0 	 0 	 0
2.16e-06 	 -0.476 	 0 	 0 	 0
2.16667e-06 	 -0.475 	 0 	 0 	 0
2.17333e-06 	 -0.474 	 0 	 0 	 0
2.18e-06 	 -0.473 	 0 	 0 	 0
2.18667e-06 	 -0.472 	 0 	 0 	 0
2.19333e-06 	 -0.471 	 0 	 0 	 0
2.2e-06 	 -0.47 	 0 	 0 	 0
2.20667e-06 	 -0.469 	 0 	 0 	 0
2.21333e-06 	 -0.468 	 0 	 0 	 0
2.22e-06 	 -0.467 	 0 	 0 	 0
2.22667e-06 	 -0.466 	 0 	 0 	 0
2.23333e-06 	 -0.465 	 0 	 0 	 0
2.24e-06 	 -0.464 	 0 	 0 	 0
2.24667e-06 	 -0.463 	 0 	 0 	 0
2.25333e-06 	 -0.462 	 0 	 0 	 0
2.26e-06 	 -0.461 	 0 	 0 	 0
2.26667e-06 	 -0.46 	 0 	 0 	 0
2.27333e-06 	 -0.459 	 0 	 0 	 0
2.28e-06 	 -0.458 	 0 	 0 	 0
2.28667e-06 	 -0.457 	 0 	 0 	 0
2.29333e-06 	 -0.456 	 0 	 0 	 0
2.3e-06 	 -0.455 	 0 	 0 	 0
2.30667e-06 	 -0.454 	 0 	 0 	 0
2.31333e-06 	 -0.453 	 0 	 0 	 0
2.32e-06 	 -0.452 	 0 	 0 	 0
2.32667e-06 	 -0.451 	 0 	 0 	 0
2.33333e-06 	 -0.45 	 0 	 0 	 0
2.34e-06 	 -0.449 	 0 	 0 	 0
2.34667e-06 	 -0.448 	 0 	 0 	 0
2.35333e-06 	 -0.447 	 0 	 0 	 0
2.36e-06 	 -0.446 	 0 	 0 	 0
2.36667e-06 	 -0.445 	 0 	 0 	 0
2.37333e-06 	 -0.444 	 0 	 0 	 0
2.38e-06 	 -0.443 	 0 	 0 	 0
2.38667e-06 	 -0.442 	 0 	 0 	 0
2.39333e-06 	 -0.441 	 0 	 0 	 0
2.4e-06 	 -0.44 	 0 	 0 	 0
2.40667e-06 	 -0.439 	 0 	 0 	 0
2.41333e-06 	 -0.438 	 0 	 0 	 0
2.42e-06 	 -0.437 	 0 	 0 	 0
2.42667e-06 	 -0.436 	 0 	 0 	 0
2.43333e-06 	 -0.435 	 0 	 0 	 0
2.44e-06 	 -0.434 	 0 	 0 	 0
2.44667e-06 	 -0.433 	 0 	 0 	 0
2.45333e-06 	 -0.432 	 0 	 0 	 0
2.46e-06 	 -0.431 	 0 	 0 	 0
2.46667e-06 	 -0.43 	 0 	 0 	 0
2.47333e-06 	 -0.429 	 0 	 0 	 0
2.48e-06 	 -0.428 	 0 	 0 	 0
2.48667e-06 	 -0.427 	 0 	 0 	 0
2.49333e-06 	 -0.426 	 0 	 0 	 0
2.5e-06 	 -0.425 	 0 	 0 	 0
2.50667e-06 	 -0.424 	 0 	 0 	 0
2.51333e-06 	 -0.423 	 0 	 0 	 0
2.52e-06 	 -0.422 	 0 	 0 	 0
2.52667e-06 	 -0.421 	 0 	 0 	 0
2.53333e-06 	 -0.42 	 0 	 0 	 0
2.54e-06 	 -0.419 	 0 	 0 	 0
2.54667e-06 	 -0.418 	 0 	 0 	 0
2.55333e-06 	 -0.417 	 0 	 0 	 0
2.56e-06 	 -0.416 	 0 	 0 	 0
2.56667e-06 	 -0.415 	 0 	 0 	 0
2.57333e-06 	 -0.414 	 0 	 0 	 0
2.58e-06 	 -0.413 	 0 	 0 	 0
2.58667e-06 	 -0.412 	 0 	 0 	 0
2.59333e-06 	 -0.411 	 0 	 0 	 0
2.6e-06 	 -0.41 	 0 	 0 	 0
2.60667e-06 	 -0.409 	 0 	 0 	 0
2.61333e-06 	 -0.408 	 0 	 0 	 0
2.62e-06 	 -0.407 	 0 	 0 	 0
2.62667e-06 	 -0.406 	 0 	 0 	 0
2.63333e-06 	 -0.405 	 0 	 0 	 0
2.64e-06 	 -0.404 	 0 	 0 	 0
2.64667e-06 	 -0.403 	 0 	 0 	 0
2.65333e-06 	 -0.402 	 0 	 0 	 0
2.66e-06 	 -0.401 	 0 	 0 	 0
2.66667e-06 	 -0.4 	 0 	 0 	 0
2.67333e-06 	 -0.399 	 0 	 0 	 0
2.68e-06 	 -0.398 	 0 	 0 	 0
2.68667e-06 	 -0.397 	 0 	 0 	 0
2.69333e-06 	 -0.396 	 0 	 0 	 0
2.7e-06 	 -0.395 	 0 	 0 	 0
2.70667e-06 	 -0.394 	 0 	 0 	 0
2.71333e-06 	 -0.393 	 0 	 0 	 0
2.72e-06 	 -0.392 	 0 	 0 	 0
2.72667e-06 	 -0.391 	 0 	 0 	 0
2.73333e-06 	 -0.39 	 0 	 0 	 0
2.74e-06 	 -0.389 	 0 	 0 	 0
2.74667e-06 	 -0.388 	 0 	 0 	 0
2.75333e-06 	 -0.387 	 0 	 0 	 0
2.76e-06 	 -0.386 	 0 	 0 	 0
2.76667e-06 	 -0.385 	 0 	 0 	 0
2.77333e-06 	 -0.384 	 0 	 0 	 0
2.78e-06 	 -0.383 	 0 	 0 	 0
2.78667e-06 	 -0.382 	 0 	 0 	 0
2.79333e-06 	 -0.381 	 0 	 0 	 0
2.8e-06 	 -0.38 	 0 	 0 	 0
2.80667e-06 	 -0.379 	 0 	 0 	 0
2.81333e-06 	 -0.378 	 0 	 0 	 0
2.82e-06 	 -0.377 	 0 	 0 	 0
2.82667e-06 	 -0.376 	 0 	 0 	 0
2.83333e-06 	 -0.375 	 0 	 0 	 0
2.84e-06 	 -0.374 	 0 	 0 	 0
2.84667e-06 	 -0.373 	 0 	 0 	 0
2.85333e-06 	 -0.372 	 0 	 0 	 0
2.86e-06 	 -0.371 	 0 	 0 	 0
2.86667e-06 	 -0.37 	 0 	 0 	 0
2.87333e-06 	 -0.369 	 0 	 0 	 0
2.88e-06 	 -0.368 	 0 	 0 	 0
2.88667e-06 	 -0.367 	 0 	 0 	 0
2.89333e-06 	 -0.366 	 0 	 0 	 0
2.9e-06 	 -0.365 	 0 	 0 	 0
2.90667e-06 	 -0.364 	 0 	 0 	 0
2.91333e-06 	 -0.363 	 0 	 0 	 0
2.92e-06 	 -0.362 	 0 	 0 	 0
2.92667e-06 	 -0.361 	 0 	 0 	 0
2.93333e-06 	 -0.36 	 0 	 0 	 0
2.94e-06 	 -0.359 	 0 	 0 	 0
2.94667e-06 	 -0.358 	 0 	 0 	 0
2.95333e-06 	 -0.357 	 0 	 0 	 0
2.96e-06 	 -0.356 	 0 	 0 	 0
2.96667e-06 	 -0.355 	 0 	 0 	 0
2.97333e-06 	 -0.354 	 0 	 0 	 0
2.98e-06 	 -0.353 	 0 	 0 	 0
2.98667e-06 	 -0.352 	 0 	 0 	 0
2.99333e-06 	 -0.351 	 0 	 0 	 0
3e-06 	 -0.35 	 0 	 0 	 0
3.00667e-06 	 -0.349 	 0 	 0 	 0
3.01333e-06 	 -0.348 	 0 	 0 	 0
3.02e-06 	 -0.347 	 0 	 0 	 0
3.02667e-06 	 -0.346 	 0 	 0 	 0
3.03333e-06 	 -0.345 	 0 	 0 	 0
3.04e-06 	 -0.344 	 0 	 0 	 0
3.04667e-06 	 -0.343 	 0 	 0 	 0
3.05333e-06 	 -0.342 	 0 	 0 	 0
3.06e-06 	 -0.341 	 0 	 0 	 0
3.06667e-06 	 -0.34 	 0 	 0 	 0
3.07333e-06 	 -0.339 	 0 	 0 	 0
3.08e-06 	 -0.338 	 0 	 0 	 0
3.08667e-06 	 -0.337 	 0 	 0 	 0
3.09333e-06 	 -0.336 	 0 	 0 	 0
3.1e-06 	 -0.335 	 0 	 0 	 0
3.10667e-06 	 -0.334 	 0 	 0 	 0
3.11333e-06 	 -0.333 	 0 	 0 	 0
3.12e-06 	 -0.332 	 0 	 0 	 0
3.12667e-06 	 -0.331 	 0 	 0 	 0
3.13333e-06 	 -0.33 	 0 	 0 	 0
3.14e-06 	 -0.329 	 0 	 0 	 0
3.14667e-06 	 -0.328 	 0 	 0 	 0
3.15333e-06 	 -0.327 	 0 	 0 	 0
3.16e-06 	 -0.326 	 0 	 0 	 0
3.16667e-06 	 -0.325 	 0 	 0 	 0
3.17333e-06 	 -0.324 	 0 	 0 	 0
3.18e-06 	 -0.323 	 0 	 0 	 0
3.18667e-06 	 -0.322 	 0 	 0 	 0
3.19333e-06 	 -0.321 	 0 	 0 	 0
3.2e-06 	 -0.32 	 0 	 0 	 0
3.20667e-06 	 -0.319 	 0 	 0 	 0
3.21333e-06 	 -0.318 	 0 	 0 	 0
3.22e-06 	 -0.317 	 0 	 0 	 0
3.22667e-06 	 -0.316 	 0 	 0 	 0
3.23333e-06 	 -0.315 	 0 	 0 	 0
3.24e-06 	 -0.314 	 0 	 0 	 0
3.24667e-06 	 -0.313 	 0 	 0 	 0
3.25333e-06 	 -0.312 	 0 	 0 	 0
3.26e-06 	 -0.311 	 0 	 0 	 0
3.26667e-06 	 -0.31 	 0 	 0 	 0
3.27333e-06 	 -0.309 	 0 	 0 	 0
3.28e-06 	 -0.308 	 0 	 0 	 0
3.28667e-06 	 -0.307 	 0 	 0 	 0
3.29333e-06 	 -0.306 	 0 	 0 	 0
3.3e-06 	 -0.305 	 0 	 0 	 0
3.30667e-06 	 -0.304 	 0 	 0 	 0
3.31333e-06 	 -0.303 	 0 	 0 	 0
3.32e-06 	 -0.302 	 0 	 0 	 0
3.32667e-06 	 -0.301 	 0 	 0 	 0
3.33333e-06 	 -0.3 	 0 	 0 	 0
3.34e-06 	 -0.299 	 0 	 0 	 0
3.34667e-06 	 -0.298 	 0 	 0 	 0
3.35333e-06 	 -0.297 	 0 	 0 	 0
3.36e-06 	 -0.296 	 0 	 0 	 0
3.36667e-06 	 -0.295 	 0 	 0 	 0
3.37333e-06 	 -0.294 	 0 	 0 	 0
3.38e-06 	 -0.293 	 0 	 0 	 0
3.38667e-06 	 -0.292 	 0 	 0 	 0
3.39333e-06 	 -0.291 	 0 	 0 	 0
3.4e-06 	 -0.29 	 0 	 0 	 0
3.40667e-06 	 -0.289 	 0 	 0 	 0
3.41333e-06 	 -0.288 	 0 	 0 	 0
3.42e-06 	 -0.287 	 0 	 0 	 0
3.42667e-06 	 -0.286 	 0 	 0 	 0
3.43333e-06 	 -0.285 	 0 	 0 	 0
3.44e-06 	 -0.284 	 0 	 0 	 0
3.44667e-06 	 -0.283 	 0 	 0 	 0
3.45333e-06 	 -0.282 	 0 	 0 	 0
3.46e-06 	 -0.281 	 0 	 0 	 0
3.46667e-06 	 -0.28 	 0 	 0 	 0
3.47333e-06 	 -0.279 	 0 	 0 	 0
3.48e-06 	 -0.278 	 0 	 0 	 0
